threshold_time_ms,open,close,high,low,mean
2021-06-01 00:00:00,37260.955,37556.725000000006,37670.765,37113.575,37478.24889447236
2021-06-01 00:10:00,37559.935,37493.535,37654.445,37478.255000000005,37557.626391666665
2021-06-01 00:20:00,37482.405,37733.2,37747.744999999995,37465.58,37604.831633333335
2021-06-01 00:30:00,37731.905,37762.095,37779.994999999995,37570.005000000005,37680.92450833333
2021-06-01 00:40:00,37762.095,37655.665,37798.985,37650.005000000005,37727.02752916666
2021-06-01 00:50:00,37655.665,37793.085,37891.405,37655.665,37748.77074166667
2021-06-01 01:00:00,37798.645000000004,37705.104999999996,37799.994999999995,37660.005000000005,37735.55935416667
2021-06-01 01:10:00,37705.104999999996,37595.955,37727.774999999994,37587.215,37648.30324583333
2021-06-01 01:20:00,37598.494999999995,37491.875,37638.265,37361.705,37505.67634583334
2021-06-01 01:30:00,37491.875,37378.985,37491.875,37255.625,37345.2057375
2021-06-01 01:40:00,37378.985,37333.685,37421.945,37266.455,37343.9665375
2021-06-01 01:50:00,37333.965,37207.354999999996,37371.494999999995,37165.295,37303.55086811352
2021-06-01 02:00:00,37201.405,37006.185,37294.435,36950.015,37182.00270642202
2021-06-01 02:10:00,37004.055,36742.115000000005,37025.045,36623.895,36819.15400833334
2021-06-01 02:20:00,36742.115000000005,36780.375,36868.875,36675.325,36802.74426666666
2021-06-01 02:30:00,36780.375,36942.165,36954.865000000005,36769.835,36889.407887500005
2021-06-01 02:40:00,36942.165,36806.244999999995,36942.165,36746.84,36818.0026375
2021-06-01 02:50:00,36804.305,36849.994999999995,36850.905,36707.895000000004,36804.10102083333
2021-06-01 03:00:00,36849.994999999995,36937.494999999995,36972.475000000006,36753.134999999995,36823.062025
2021-06-01 03:10:00,36931.655,37112.015,37112.015,36876.604999999996,37000.43100833333
2021-06-01 03:20:00,37112.015,36872.345,37112.015,36872.345,36994.92383040936
2021-06-01 03:30:00,36872.345,36705.265,36872.345,36527.83,36677.93511666667
2021-06-01 03:40:00,36705.265,36585.875,36706.415,36500.005000000005,36617.69957881568
2021-06-01 03:50:00,36581.445,36710.285,36794.865000000005,36581.445,36712.210575
2021-06-01 04:00:00,36710.285,36666.375,36799.994999999995,36566.665,36690.976975
2021-06-01 04:10:00,36666.375,36666.575,36757.645000000004,36612.915,36688.308312500005
2021-06-01 04:20:00,36666.575,36844.595,36844.595,36655.795,36740.703858333334
2021-06-01 04:30:00,36846.145000000004,36928.095,36953.675,36784.045,36861.9393375
2021-06-01 04:40:00,36928.095,36868.875,36928.645000000004,36821.354999999996,36869.55830833333
2021-06-01 04:50:00,36868.875,36744.685,36868.875,36733.585,36817.06431666666
2021-06-01 05:00:00,36744.685,36895.755000000005,36918.604999999996,36710.335,36843.58196830692
2021-06-01 05:10:00,36895.755000000005,37043.255000000005,37049.005000000005,36822.195,36910.100054166665
2021-06-01 05:20:00,37047.18,36972.015,37047.915,36904.925,36959.40299166666
2021-06-01 05:30:00,36968.325,37137.565,37144.134999999995,36956.725000000006,37066.224279166665
2021-06-01 05:40:00,37137.565,37240.805,37335.405,37094.265,37181.21470833333
2021-06-01 05:50:00,37240.805,37257.854999999996,37346.125,37188.575,37279.096020833334
2021-06-01 06:00:00,37265.875,37384.815,37429.955,37177.134999999995,37310.75788333333
2021-06-01 06:10:00,37377.305,37240.315,37399.994999999995,37212.765,37310.17655833333
2021-06-01 06:20:00,37240.315,37111.345,37240.315,37020.005000000005,37098.90055
2021-06-01 06:30:00,37115.535,36862.615000000005,37115.535,36775.515,36863.502
2021-06-01 06:40:00,36862.615000000005,36858.725000000006,36875.104999999996,36726.055,36824.651958333336
2021-06-01 06:50:00,36858.725000000006,36914.895000000004,36966.545,36809.854999999996,36904.5874625
2021-06-01 07:00:00,36912.685,37037.035,37154.705,36912.685,37041.92059166667
2021-06-01 07:10:00,37037.035,36827.665,37037.035,36780.395000000004,36857.46517083333
2021-06-01 07:20:00,36827.665,36768.425,36912.295,36758.795,36839.96759166667
2021-06-01 07:30:00,36763.265,36766.095,36830.675,36635.774999999994,36735.39417083334
2021-06-01 07:40:00,36758.925,36796.384999999995,36873.945,36719.515,36795.98346121057
2021-06-01 07:50:00,36796.384999999995,36827.075,36866.545,36772.345,36818.833825
2021-06-01 08:00:00,36827.075,36589.425,36932.545,36575.854999999996,36729.15123255814
